Date,Eggs Produced,Demand,Inventory,Spoilage,Delivery Quantity,Revenue
2024-04-20,862,801,5305,107,801,120.14999999999999
2024-04-21,938,982,5155,106,982,147.29999999999998
2024-04-22,880,910,5022,103,910,136.5
2024-04-23,1191,917,5196,100,917,137.54999999999998
2024-04-24,962,877,5178,103,877,131.54999999999998
2024-04-25,1088,788,5375,103,788,118.19999999999999
2024-04-26,1178,831,5615,107,831,124.64999999999999
2024-04-27,1060,853,5710,112,853,127.94999999999999
2024-04-28,1030,878,5748,114,878,131.7
2024-04-29,840,760,5714,114,760,114.0
2024-04-30,827,969,5458,114,969,145.35
2024-05-01,934,934,5349,109,934,140.1
2024-05-02,1000,966,5277,106,966,144.9
2024-05-03,1127,927,5372,105,927,139.04999999999998
2024-05-04,1067,900,5432,107,900,135.0
2024-05-05,832,908,5248,108,908,136.2
2024-05-06,847,971,5020,104,971,145.65
2024-05-07,861,791,4990,100,791,118.64999999999999
2024-05-08,1015,848,5058,99,848,127.19999999999999
2024-05-09,1092,756,5293,101,756,113.39999999999999
2024-05-10,898,893,5193,105,893,133.95
2024-05-11,971,839,5222,103,839,125.85
2024-05-12,1159,861,5416,104,861,129.15
2024-05-13,1013,998,5323,108,998,149.7
2024-05-14,834,993,5058,106,993,148.95
2024-05-15,1026,809,5174,101,809,121.35
2024-05-16,900,862,5109,103,862,129.29999999999998
2024-05-17,930,751,5186,102,751,112.64999999999999
2024-05-18,1056,878,5261,103,878,131.7
2024-05-19,804,797,5163,105,797,119.55
2024-05-20,1017,889,5188,103,889,133.35
2024-05-21,1054,946,5193,103,946,141.9
2024-05-22,1197,786,5501,103,786,117.89999999999999
2024-05-23,1158,909,5640,110,909,136.35
2024-05-24,1082,996,5614,112,996,149.4
2024-05-25,1192,758,5936,112,758,113.7
2024-05-26,1006,982,5842,118,982,147.29999999999998
2024-05-27,814,848,5692,116,848,127.19999999999999
2024-05-28,1145,896,5828,113,896,134.4
2024-05-29,841,797,5756,116,797,119.55
2024-05-30,1179,957,5863,115,957,143.54999999999998
2024-05-31,978,880,5844,117,880,132.0
2024-06-01,862,897,5693,116,897,134.54999999999998
2024-06-02,1151,901,5830,113,901,135.15
2024-06-03,1030,803,5941,116,803,120.44999999999999
2024-06-04,1040,869,5994,118,869,130.35
2024-06-05,851,910,5816,119,910,136.5
2024-06-06,895,901,5694,116,901,135.15
2024-06-07,1187,865,5903,113,865,129.75
2024-06-08,1021,824,5982,118,824,123.6
2024-06-09,1030,862,6031,119,862,129.29999999999998
2024-06-10,1036,949,5998,120,949,142.35
2024-06-11,942,913,5908,119,913,136.95
2024-06-12,970,915,5845,118,915,137.25
2024-06-13,828,853,5704,116,853,127.94999999999999
2024-06-14,835,833,5592,114,833,124.94999999999999
2024-06-15,812,976,5317,111,976,146.4
2024-06-16,959,861,5309,106,861,129.15
2024-06-17,1126,966,5363,106,966,144.9
2024-06-18,986,848,5394,107,848,127.19999999999999
2024-06-19,1042,902,5427,107,902,135.29999999999998
2024-06-20,885,842,5362,108,842,126.3
2024-06-21,1083,895,5443,107,895,134.25
2024-06-22,865,877,5323,108,877,131.54999999999998
2024-06-23,969,859,5327,106,859,128.85
2024-06-24,844,831,5234,106,831,124.64999999999999
2024-06-25,861,943,5048,104,943,141.45
2024-06-26,933,803,5078,100,803,120.44999999999999
2024-06-27,1083,912,5148,101,912,136.79999999999998
2024-06-28,827,957,4916,102,957,143.54999999999998
2024-06-29,907,938,4787,98,938,140.7
2024-06-30,843,918,4617,95,918,137.7
